time_s,current_A,voltage_V
6663.98999999999,107.8219,3.413002
6664.98999999999,107.8157,3.413002
6665.98999999999,107.8138,3.413002
6666.98999999999,107.8163,3.413109
6667.98999999999,107.8268,3.413055
6668.98999999999,107.8163,3.413109
6669.98999999999,107.8045,3.413162
6670.98999999999,107.8002,3.413162
6671.98999999999,107.82,3.413215
6672.98999999999,107.82,3.413215
6673.98999999999,107.8206,3.413269
6674.98999999999,107.8281,3.413269
6675.98999999999,107.8181,3.413375
6676.98999999999,107.802,3.413269
6677.98999999999,107.789,3.413375
6678.98999999999,107.807,3.413429
6679.98999999999,107.8088,3.413429
6680.98999999999,107.7995,3.413429
6681.98999999999,107.8132,3.413482
6682.98999999999,107.784,3.413482
6683.98999999999,107.8076,3.413536
6684.98999999999,107.8175,3.413536
6685.98999999999,107.7989,3.413536
6686.98999999999,107.8095,3.413589
6687.98999999999,107.8051,3.413589
6688.98999999999,107.8045,3.413642
6689.98999999999,107.7971,3.413696
6690.98999999999,107.7971,3.413696
6691.98999999999,107.7909,3.413802
6692.98999999999,107.7977,3.413749
6693.98999999999,107.7909,3.413749
6694.98999999999,107.7884,3.413856
6695.98999999999,107.7778,3.413909
6696.98999999999,107.8082,3.413856
6697.98999999999,107.789,3.413909
6698.98999999999,107.802,3.413909
6699.98999999999,107.7915,3.413909
6700.98999999999,107.7735,3.413963
6701.98999999999,107.7822,3.414016
6702.98999999999,107.7679,3.413963
6703.98999999999,107.7561,3.414016
6704.98999999999,107.7766,3.414069
6705.98999999999,107.789,3.414123
6706.98999999999,107.7847,3.414176
6707.98999999999,107.7909,3.414123
6708.98999999999,107.7667,3.414176
6709.98999999999,107.7704,3.414229
6710.98999999999,107.7679,3.414229
6711.98999999999,107.8002,3.414283
6712.98999999999,107.7704,3.414283
6713.98999999999,107.7853,3.414336
6714.98999999999,107.7797,3.414336
6715.98999999999,107.7673,3.414336
6716.98999999999,107.7964,3.41439
6717.98999999999,107.776,3.414443
6718.98999999999,107.7791,3.414443
6719.98999999999,107.7896,3.414496
6720.98999999999,107.7754,3.414496
6721.98999999999,107.7766,3.41455
6722.98999999999,107.7679,3.41455
6723.98999999999,107.7704,3.414603
6724.98999999999,107.7462,3.414603
6725.98999999999,107.7642,3.41471
6726.98999999999,107.7859,3.414656
6727.98999999999,107.7444,3.41471
6728.98999999999,107.7735,3.414763
6729.98999999999,107.7561,3.414763
