Cycle,Mean_Retention,CI95_Lower_Retention,CI95_Upper_Retention,Mean_Capacity,CI95_Lower_Capacity,CI95_Upper_Capacity
1497,0.900664893617019,0.883865248226948,0.916223404255318,214.196125000022,210.200833333355,217.896250000023
1498,0.900642730496452,0.883865248226948,0.916223404255318,214.190854166689,210.200833333355,217.896250000023
1499,0.900598404255317,0.883421985815601,0.916223404255318,214.180312500022,210.095416666688,217.896250000023
1500,0.900554078014182,0.883421985815601,0.91578014184397,214.169770833356,210.095416666688,217.790833333356
1501,0.900554078014182,0.883421985815601,0.91578014184397,214.169770833356,210.095416666688,217.790833333356
1502,0.90048758865248,0.883421985815601,0.91578014184397,214.153958333356,210.095416666688,217.790833333356
1503,0.900465425531913,0.883421985815601,0.91578014184397,214.148687500022,210.095416666688,217.790833333356
1504,0.900443262411346,0.883421985815601,0.91578014184397,214.143416666689,210.095416666688,217.790833333356
1505,0.900398936170211,0.883421985815601,0.91578014184397,214.132875000022,210.095416666688,217.790833333356
1506,0.900332446808509,0.883421985815601,0.91578014184397,214.117062500022,210.095416666688,217.790833333356
1507,0.900288120567374,0.883421985815601,0.91578014184397,214.106520833356,210.095416666688,217.790833333356
1508,0.900288120567374,0.883421985815601,0.91578014184397,214.106520833356,210.095416666688,217.790833333356
1509,0.900243794326239,0.883421985815601,0.91578014184397,214.095979166689,210.095416666688,217.790833333356
1510,0.900221631205672,0.883421985815601,0.91578014184397,214.090708333356,210.095416666688,217.790833333356
1511,0.900199468085105,0.882978723404253,0.91578014184397,214.085437500022,209.990000000022,217.790833333356
1512,0.900199468085105,0.882978723404253,0.91578014184397,214.085437500022,209.990000000022,217.790833333356
1513,0.900132978723402,0.882978723404253,0.91578014184397,214.069625000022,209.990000000022,217.790833333356
1514,0.900132978723402,0.882978723404253,0.91578014184397,214.069625000022,209.990000000022,217.790833333356
1515,0.9000664893617,0.882978723404253,0.91578014184397,214.053812500022,209.990000000022,217.790833333356
1516,0.900044326241133,0.882978723404253,0.915336879432623,214.048541666689,209.990000000022,217.685416666689
1517,0.899999999999998,0.882978723404253,0.915336879432623,214.038000000022,209.990000000022,217.685416666689
1518,0.899977836879431,0.882978723404253,0.915336879432623,214.032729166689,209.990000000022,217.685416666689
1519,0.899933510638296,0.882978723404253,0.915336879432623,214.022187500022,209.990000000022,217.685416666689
1520,0.899911347517729,0.882978723404253,0.915336879432623,214.016916666689,209.990000000022,217.685416666689
1521,0.899867021276594,0.882978723404253,0.915336879432623,214.006375000022,209.990000000022,217.685416666689
1522,0.899778368794324,0.882535460992906,0.915336879432623,213.985291666689,209.884583333355,217.685416666689
1523,0.899756205673757,0.882535460992906,0.915336879432623,213.980020833356,209.884583333355,217.685416666689
1524,0.899756205673757,0.882535460992906,0.915336879432623,213.980020833356,209.884583333355,217.685416666689
1525,0.899756205673757,0.882535460992906,0.915336879432623,213.980020833356,209.884583333355,217.685416666689
1526,0.89973404255319,0.882535460992906,0.915336879432623,213.974750000022,209.884583333355,217.685416666689
1527,0.899689716312055,0.882535460992906,0.915336879432623,213.964208333356,209.884583333355,217.685416666689
1528,0.899623226950353,0.882535460992906,0.915336879432623,213.948395833356,209.884583333355,217.685416666689
1529,0.899623226950353,0.882535460992906,0.915336879432623,213.948395833356,209.884583333355,217.685416666689
1530,0.899578900709218,0.882535460992906,0.915336879432623,213.937854166689,209.884583333355,217.685416666689
1531,0.899578900709218,0.882535460992906,0.915336879432623,213.937854166689,209.884583333355,217.685416666689
1532,0.899490248226948,0.882535460992906,0.914893617021275,213.916770833356,209.884583333355,217.580000000023
1533,0.899468085106381,0.882535460992906,0.914893617021275,213.911500000022,209.884583333355,217.580000000023
1534,0.899445921985814,0.882092198581558,0.914893617021275,213.906229166689,209.779166666688,217.580000000023
1535,0.899423758865246,0.882092198581558,0.914893617021275,213.900958333356,209.779166666688,217.580000000023
1536,0.899312943262409,0.882092198581558,0.914893617021275,213.874604166689,209.779166666688,217.580000000023
1537,0.899312943262409,0.882092198581558,0.914893617021275,213.874604166689,209.779166666688,217.580000000023
1538,0.899290780141842,0.882092198581558,0.914893617021275,213.869333333356,209.779166666688,217.580000000023
1539,0.899268617021275,0.882092198581558,0.914893617021275,213.864062500022,209.779166666688,217.580000000023
1540,0.899268617021275,0.882092198581558,0.914893617021275,213.864062500022,209.779166666688,217.580000000023
1541,0.89922429078014,0.882092198581558,0.914893617021275,213.853520833356,209.779166666688,217.580000000023
1542,0.899179964539005,0.882092198581558,0.914893617021275,213.842979166689,209.779166666688,217.580000000023
1543,0.89913563829787,0.882092198581558,0.914893617021275,213.832437500022,209.779166666688,217.580000000023
1544,0.89913563829787,0.882092198581558,0.914893617021275,213.832437500022,209.779166666688,217.580000000023
1545,0.899069148936168,0.881648936170211,0.914893617021275,213.816625000022,209.673750000022,217.580000000023
1546,0.899069148936168,0.881648936170211,0.914893617021275,213.816625000022,209.673750000022,217.580000000023
1547,0.899046985815601,0.881648936170211,0.914893617021275,213.811354166689,209.673750000022,217.580000000023
1548,0.898980496453899,0.881648936170211,0.914450354609927,213.795541666689,209.673750000022,217.474583333356
1549,0.898936170212764,0.881648936170211,0.914450354609927,213.785000000022,209.673750000022,217.474583333356
1550,0.898936170212764,0.881648936170211,0.914450354609927,213.785000000022,209.673750000022,217.474583333356
1551,0.898847517730495,0.881648936170211,0.914450354609927,213.763916666689,209.673750000022,217.474583333356
1552,0.898825354609927,0.881648936170211,0.914450354609927,213.758645833356,209.673750000022,217.474583333356
1553,0.898825354609927,0.881648936170211,0.914450354609927,213.758645833356,209.673750000022,217.474583333356
1554,0.898781028368792,0.881648936170211,0.914450354609927,213.748104166689,209.673750000022,217.474583333356
1555,0.898736702127658,0.881648936170211,0.914450354609927,213.737562500022,209.673750000022,217.474583333356
1556,0.898714539007091,0.881648936170211,0.914450354609927,213.732291666689,209.673750000022,217.474583333356
1557,0.898670212765956,0.881205673758863,0.914450354609927,213.721750000022,209.568333333355,217.474583333356
1558,0.898625886524821,0.881205673758863,0.914450354609927,213.711208333356,209.568333333355,217.474583333356
1559,0.898625886524821,0.881205673758863,0.914450354609927,213.711208333356,209.568333333355,217.474583333356
1560,0.898625886524821,0.881205673758863,0.914450354609927,213.711208333356,209.568333333355,217.474583333356
1561,0.898603723404254,0.881205673758863,0.914450354609927,213.705937500022,209.568333333355,217.474583333356
1562,0.898537234042551,0.881205673758863,0.914450354609927,213.690125000022,209.568333333355,217.474583333356
1563,0.898492907801417,0.881205673758863,0.914450354609927,213.679583333356,209.568333333355,217.474583333356
1564,0.898448581560282,0.881205673758863,0.91400709219858,213.669041666689,209.568333333355,217.369166666689
1565,0.898426418439714,0.881205673758863,0.91400709219858,213.663770833356,209.568333333355,217.369166666689
1566,0.898404255319147,0.881205673758863,0.91400709219858,213.658500000022,209.568333333355,217.369166666689
1567,0.898337765957445,0.881205673758863,0.91400709219858,213.642687500022,209.568333333355,217.369166666689
1568,0.89829343971631,0.880762411347516,0.91400709219858,213.632145833356,209.462916666688,217.369166666689
1569,0.898226950354608,0.880762411347516,0.91400709219858,213.616333333356,209.462916666688,217.369166666689
1570,0.898204787234041,0.880762411347516,0.91400709219858,213.611062500022,209.462916666688,217.369166666689
1571,0.898204787234041,0.880762411347516,0.91400709219858,213.611062500022,209.462916666688,217.369166666689
1572,0.898204787234041,0.880762411347516,0.91400709219858,213.611062500022,209.462916666688,217.369166666689
1573,0.898182624113473,0.880762411347516,0.91400709219858,213.605791666689,209.462916666688,217.369166666689
1574,0.898160460992906,0.880762411347516,0.91400709219858,213.600520833356,209.462916666688,217.369166666689
1575,0.898138297872338,0.880762411347516,0.91400709219858,213.595250000022,209.462916666688,217.369166666689
1576,0.898093971631204,0.880762411347516,0.91400709219858,213.584708333356,209.462916666688,217.369166666689
1577,0.898027482269502,0.880762411347516,0.91400709219858,213.568895833356,209.462916666688,217.369166666689
1578,0.898027482269502,0.880762411347516,0.91400709219858,213.568895833356,209.462916666688,217.369166666689
1579,0.898005319148934,0.880762411347516,0.91400709219858,213.563625000022,209.462916666688,217.369166666689
1580,0.897916666666665,0.880319148936168,0.913563829787232,213.542541666689,209.357500000022,217.263750000023
1581,0.897894503546097,0.880319148936168,0.913563829787232,213.537270833356,209.357500000022,217.263750000023
